the,[ðə],то;определенный артикль
cop,[kɒp],ловить;полицейский
decay,[dɪˈkeɪ],разрушаться;разрушение
element,[ˈelɪmənt],элемент;элементный
errand,[ˈer.ənd],задание
explosion,[ɪkˈspləʊʒn],взрыв
foe,[fəʊ],противник
lash,[læʃ],ресница
medical,[ˈmedɪkl],медицинский
mess,[mes],возиться;беспорядок;путаница
monday,[ˈmʌndeɪ],понедельник;в понедельник
northward,[ˈnɔːθ.wəd],к северу;северный
rack,[ræk],мучить;стойка
stab,[stæb],ранить
tempt,[tempt],искушать
timid,[ˈtɪm.ɪd],робкий
wreck,[rek],терпеть крушение;повреждение
bewilder,[bɪˈwɪl.dər],ставить в тупик
career,[kəˈrɪə(r)],карьера
classroom,[ˈklɑːsruːm],классная;комната
droop,[druːp],свисать
ghastly,[ˈɡɑːst.li],жуткий
method,[ˈmeθəd],метод
principal,[ˈprɪn.sɪ.pəl],принципал;директор школы;главный
rifle,[ˈraɪ.fl̩],винтовка
soak,[səʊk],пропитывать;пропитка
vivid,[ˈvɪv.ɪd],живой;яркий
acknowledge,[əkˈnɒlɪdʒ],признавать;дрез)подтверждать
america,[əˈmer.ɪ.kə],америка
bald,[bɔːld],лысый
batter,[ˈbæt.ər],мять;тесто
code,[kəʊd],кодировать;код;кодекс;кодовый
gear,[ɡɪə(r)],устройство;мех)шестерня;передача
lawyer,[ˈlɔːjə(r)],юрист
misery,[ˈmɪz.ər.i],несчастье;нищета
pat,[pæt],похлопывать;хлопок;пэт;готовый
physician,[fɪˈzɪʃ.ən],врач
shrill,[ʃrɪl],вопить;визг;резкий
sparkle,[ˈspɑː.kl̩],сверкать;искрить;искра
statement,[ˈsteɪtmənt],утверждение;прог)оператор;конт)формулировка;заявление
thief,[θiːf],вор
tune,[tjuːn],настраивать;мелодия
awaken,[əˈweɪ.kən],будить
breathless,[ˈbreθ.ləs],запыхавшийся
craft,[krɑːft],средство;ремесло;судно
estate,[ɪˈsteɪt],имущество
farmer,[ˈfɑːmə(r)],фермер
halfway,[ˌhɑːfˈweɪ],на полпути;половинчатый
helpless,[ˈhelp.ləs],беспомощный
indifferent,[ɪnˈdɪf.ər.ənt],безразличный
peeve,[piːv],раздражать
phrase,[freɪz],фраза
pilot,[ˈpaɪlət],управлять;пилот;опытный
pont,[-],понтонный;мост
quill,[kwɪl],игла
rent,[rent],арендовать;аренда
sole,[səʊl],подошва;единственный
squat,[skwɒt],садиться на корточки
steeple,[ˈstiː.pl̩],шпиль
straw,[strɔː],солома
swarm,[swɔːm],роиться;рой
wan,[wɒn],бледный
wrought,[rɔːt],работать;отделанный
departure,[dɪˈpɑːtʃə(r)],отправление;отъезд
disease,[dɪˈziːz],болезнь
eater,[ˈiː.tər],едок
entity,[ˈen.tɪ.ti],сущность;инф)объект
expedition,[ˌek.spəˈdɪʃ.ən],экспедиция
genuine,[ˈdʒenjuɪn],истинный
guilty,[ˈɡɪlti],виновный
hurl,[hɜːl],метать
instinct,[ˈɪn.stɪŋkt],инстинкт
lion,[ˈlaɪ.ən],лев
maintain,[meɪnˈteɪn],поддерживать
moral,[ˈmɒrəl],мораль;моральный
nigh,[naɪ],близко
overcome,[ˌəʊvəˈkʌm],преодолевать
salt,[sɔːlt],солить;соль;соленый
shower,[ˈʃaʊə(r)],душ;ливень
thump,[θʌmp],колотить;удар
vital,[ˈvaɪtl],живой
wealth,[welθ],богатство;масса
agony,[ˈæɡ.ə.ni],агония
appoint,[əˈpɔɪnt],назначать
balloon,[bəˈluːn],раздувать;баллон
blossom,[ˈblɒs.əm],расцветать;цвет;цветение
capital,[ˈkæpɪtl],капитал;столица;основной
coal,[kəʊl],каменный;уголь;каменноугольный
coil,[kɔɪl],катушка
cur,[kɜːr],ублюдок
dismiss,[dɪsˈmɪs],распускать
fountain,[ˈfaʊn.tɪn],фонтан
glisten,[ˈɡlɪs.ən],блестеть
handful,[ˈhænd.fʊl],горсть
idiot,[ˈɪd.i.ət],идиот
impressive,[ɪmˈpresɪv],впечатляющий
insect,[ˈɪnsekt],насекомое
lighter,[ˈlaɪ.tər],зажигалка;более светлый
permission,[pəˈmɪʃn],разрешение
restless,[ˈrest.ləs],беспокойный
salute,[səˈluːt],салют
strict,[strɪkt],строгий
wither,[ˈwɪð.ər],вянуть
chicken,[ˈtʃɪkɪn],цыпленок;куриный
clang,[klæŋ],лязгать;лязг
defense,[dɪˈfens],защита;защитный
entertain,[ˌentəˈteɪn],развлекать
experiment,[ɪkˈsperɪmənt],экспериментировать;эксперимент
mechanical,[məˈkæn.ɪ.kəl],механический;автоматический
odour,[ˈəʊ.dər],запах
passionate,[ˈpæʃ.ən.ət],страстный
program,[ˈprəʊɡræm],программировать;программа;программный
sacred,[ˈseɪ.krɪd],священный;инф)зарезервированный
sex,[seks],секс;пол;половой
sheep,[ʃiːp],овца
starve,[stɑːv],голодать;истощаться
substance,[ˈsʌbstəns],субстанция;вещество;по существу
tool,[tuːl],оснащать;средство
accomplish,[əˈkʌm.plɪʃ],выполнять
chant,[tʃɑːnt],петь;пение
complex,[ˈkɒmpleks],комплекс;сложный
consent,[kənˈsent],соглашаться;согласие
crackle,[ˈkræk.l̩],трещать;треск
crew,[kruː],команда
fifth,[fɪfθ],пятый
frantic,[ˈfræn.tɪk],отчаянный;лихорадочный
hire,[ˈhaɪə(r)],нанимать;прокат
launch,[lɔːntʃ],запускать;запуск
lofty,[ˈlɒf.ti],высокий
potato,[pəˈteɪtəʊ],картофель;картофельный
resolution,[ˌrez.əˈluː.ʃən],решение;вид;резолюция;разрешающая;способность
russian,[ˈrʌʃ.ən],русский;русско
soil,[sɔɪl],пачкать;почва
squint,[skwɪnt],жмуриться;косоглазие
supply,[səˈplaɪ],поставлять;обеспечивать;поставка
terrorist,[ˈter.ə.rɪst],террорист;террористический
wade,[weɪd],переходить вброд
waistcoat,[ˈweɪs.kəʊt],жилет
willow,[ˈwɪl.əʊ],ива;ивовый
amiable,[ˈeɪ.mi.ə.bl̩],дружелюбный
dismal,[ˈdɪz.məl],мрачный
harmony,[ˈhɑː.mə.ni],гармония
healthy,[ˈhelθi],здоровый
icy,[ˈaɪ.si],ледяной
mingle,[ˈmɪŋ.ɡl̩],смешиваться
musical,[ˈmjuːzɪkl],комедия;музыкальный
thy,[ðaɪ],твой
vary,[ˈveəri],менять;изменяться
worship,[ˈwɜːʃɪp],поклоняться;поклонение
absorb,[əbˈsɔːb],поглощать;амортизировать
accurse,[-],проклинать
apprehension,[ˌæp.rɪˈhen.ʃən],понимание
bonnet,[ˈbɒn.ɪt],капот
clench,[klentʃ],принимать твердое решение
detect,[dɪˈtekt],обнаруживать
fro,[frəʊ],to and fro туда-сюда
goose,[ɡuːs],гусь;гусиный
imp,[ɪmp],бесёнок
mend,[mend],ремонтировать;ремонт
mission,[ˈmɪʃ.ən],миссия;задача
national,[ˈnæʃnəl],национальный
principle,[ˈprɪnsəpl],принцип
rusty,[ˈrʌs.ti],ржавый
shimmer,[ˈʃɪm.ər],мерцать;мерцание
slant,[slɑːnt],наклонять;наклон
snore,[snɔːr],храпеть
sugar,[ˈʃʊɡə(r)],сахар;сахарный
union,[ˈjuːniən],союз
velvet,[ˈvel.vɪt],бархат
apartment,[əˈpɑːtmənt],квартира
cauldron,[ˈkɔːl.drən],котел
ceremony,[ˈserəməni],церемония
channel,[ˈtʃænl],канал;канальный
coast,[kəʊst],берег;береговой
cure,[kjʊə(r)],лечить;инф)восстанавливать;лечение
distract,[dɪˈstrækt],отвлекать
ford,[fɔːd],переходить вброд;брод;форд
kneel,[niːl],становиться на колени
motor,[ˈməʊtə(r)],двигатель
perish,[ˈper.ɪʃ],гибнуть
profession,[prəˈfeʃn],профессия
quarrel,[ˈkwɒr.əl],ссориться;ссора
reduce,[rɪˈdjuːs],уменьшать;сводить
temporary,[ˈtemprəri],временный
tournament,[ˈtʊə.nə.mənt],турнир
universal,[ˌjuː.nɪˈvɜː.səl],универсальный
virtue,[ˈvɜː.tjuː],достоинство
warrior,[ˈwɒr.i.ər],воин
watson,[-],ватсон
absurd,[əbˈsɜːd],абсурд;нелепый
accurate,[ˈækjərət],точный
deceive,[dɪˈsiːv],обманывать
defend,[dɪˈfend],защищать
galaxy,[ˈɡæl.ək.si],астр)галактика
model,[ˈmɒdl],моделировать;модель
organ,[ˈɔːɡən],орган;блок
rib,[rɪb],ребро
sawyer,[-],пильщик
scientific,[ˌsaɪənˈtɪfɪk],научный
stable,[ˈsteɪbl],конюшня;стабильный
stool,[stuːl],табуретка
complicate,[ˈkɒmplɪkeɪt],усложнять
dignity,[ˈdɪɡ.nɪ.ti],достоинство
dip,[dɪp],окупать;погружение
goblet,[ˈɡɒb.lət],бокал
incident,[ˈɪnsɪdənt],инцидент;смежный
landscape,[ˈlændskeɪp],пейзаж;горизональный
marvellous,[ˈmɑː.vəl.əs],чудный
motive,[ˈməʊ.tɪv],мотив
myrtle,[ˈmɜː.tl̩],мирт;миртовый
offend,[əˈfend],обижать;обиженный
patience,[ˈpeɪʃns],терпение
pose,[pəʊz],предлагать;поза
rude,[ruːd],грубый
serpent,[ˈsɜː.pənt],змея
shatter,[ˈʃæt.ər],разрушать
spray,[spreɪ],аэрозоль
wary,[ˈweə.ri],осмотрительный
activity,[ækˈtɪvəti],деятельность;активность
anyhow,[ˈen.i.haʊ],как-нибудь
august,[ˈɔːɡəst],август;августовский
bearer,[ˈbeə.rər],податель;предъявительский
british,[ˈbrɪt.ɪʃ],британский
bronze,[brɒnz],бронза;бронзовый
corp,[-],корпорация
depress,[dɪˈpres],понижать;подавлять
equipment,[ɪˈkwɪpmənt],оборудование
investigation,[ɪnˌvestɪˈɡeɪʃn],исследование
jug,[dʒʌɡ],кувшин
objection,[əbˈdʒek.ʃən],возражение
pole,[pəʊl],полюс
scheme,[skiːm],схема
southern,[ˈsʌðən],южный
watcher,[ˈwɒtʃ.ər],наблюдатель
whoever,[huːˈevə(r)],кто бы ни;который бы ни
worm,[wɜːm],червь
acquaint,[əˈkweɪnt],знакомить
adult,[ˈædʌlt],взрослый
assistant,[əˈsɪstənt],ассистент;помощник
convey,[kənˈveɪ],перевозить;инф)передавать
decent,[ˈdiː.sənt],скромный
dormitory,[ˈdɔː.mɪ.tər.i],общежитие
draught,[drɑːft],сквозняк
gallop,[ˈɡæl.əp],скакать галопом;галоп
genius,[ˈdʒiː.ni.əs],гений
gratitude,[ˈɡræt.ɪ.tjuːd],благодарность
lump,[lʌmp],валить;кусок;шишка;единовременный
niece,[niːs],племянница
operate,[ˈɒpəreɪt],обслуживать;действовать
poet,[ˈpəʊ.ɪt],поэт
punish,[ˈpʌnɪʃ],наказывать
reader,[ˈriːdə(r)],читатель;инф)считыватель
recollection,[ˌrek.əˈlek.ʃən],воспоминание
replace,[rɪˈpleɪs],заменять;замена
solution,[səˈluːʃn],решение;раствор
soup,[suːp],суп;суповой
stalk,[stɔːk],шагать;выслеживать;стебель
throb,[θrɒb],пульсировать;биение
tidings,[ˈtaɪ.dɪŋz],весть
atmosphere,[ˈætməsfɪə(r)],атмосфера
attendant,[əˈten.dənt],сопровождающий
bile,[baɪl],желчь
dizzy,[ˈdɪz.i],головокружительный
grumble,[ˈɡrʌm.bl̩],ворчать
lazy,[ˈleɪzi],ленивый
license,[ˈlaɪsns],лицензировать;лицензия;лицензионный
museum,[mjuˈziːəm],музей
nick,[nɪk],царапать;щербина
prey,[preɪ],жертва;добыча
shutter,[ˈʃʌt.ər],затворять;ставень
sixty,[ˈsɪksti],шестьдесят;шестидесятый;шестидесяти
speaker,[ˈspiːkə(r)],докладчик;диктор;спикер;динамик
strap,[stræp],связывать;полоса
stre,[-],stre enough на самом деле
talent,[ˈtæl.ənt],талант
thee,[ðiː],(устаревшее) ты
thieve,[-],воровать
toy,[tɔɪ],играть;игрушка
tube,[tjuːb],трубка;тюбик;лампа
variety,[vəˈraɪəti],разновидность;ряд
bargain,[ˈbɑːɡən],торговаться;сделка
brandy,[ˈbræn.di],брэнди
bus,[bʌs],везти в автобусе;автобус;инф)шина
careless,[ˈkeələs],небрежный
chatter,[ˈtʃæt.ər],стучать;болтать;болтовня
countenance,[ˈkaʊn.tə.nəns],выражение лица
dale,[deɪl],долина
deed,[diːd],дело
discussion,[dɪˈskʌʃn],дискуссия;обсуждение
expensive,[ɪkˈspensɪv],дорогой
inspire,[ɪnˈspaɪər],вдохновлять
journal,[ˈdʒɜː.nəl],журнал
performance,[pəˈfɔːməns],исполнение
refresh,[rɪˈfreʃ],освежать;восстановление
scowl,[skaʊl],хмуриться
sherlock,[-],шерлок
sock,[sɒk],носок
soften,[ˈsɒf.ən],смягчать
sprawl,[sprɔːl],растягиваться
steward,[ˈstjuː.əd],стюард;официант
structure,[ˈstrʌktʃə(r)],структура;структурный
tradition,[trəˈdɪʃn],традиция
whence,[wens],откуда
achieve,[əˈtʃiːv],достигать
active,[ˈæktɪv],активный
behave,[bɪˈheɪv],вести себя
caution,[ˈkɔː.ʃən],предупреждение;осторожность
churchyard,[ˈtʃɜːtʃ.jɑːd],церковный;двор
confirm,[kənˈfɜːm],подтверждать
david,[ˌstɑː.rəvˈdeɪ.vɪd],дэвид
debate,[dɪˈbeɪt],обсуждать;дискуссия
doze,[dəʊz],дремать
duchess,[ˈdʌtʃ.es],княгиня
frog,[frɒɡ],лягушка
fry,[fraɪ],жарить;сгорать
huddle,[ˈhʌd.l̩],жаться
injury,[ˈɪndʒəri],повреждение
insult,[ɪnˈsʌlt],оскорблять;оскорбление
italian,[ɪˈtæl.jən],итальянец;итальянский
pirate,[ˈpaɪ.rət],воровать;пират;пиратский
preparation,[ˌprepəˈreɪʃn],подготовка;препарат
shave,[ʃeɪv],брить;мех)обрезать;бритье;мех)шевингование(обрезка)
slab,[slæb],кусок
stack,[stæk],складывать;кипа;инф)стек
suppress,[səˈpres],подавлять;запрещать
sympathy,[ˈsɪmpəθi],сочувствие
torment,[ˈtɔː.ment],мучить;мучение
wrench,[rentʃ],ключ
dean,[diːn],декан
den,[den],логово;комната
disappointment,[ˌdɪsəˈpɔɪntmənt],разочарование
earn,[ɜːn],зарабатывать
firebolt,[-],молнию
hurried,[ˈhʌr.id],поспешный
october,[ɒkˈtəʊbə(r)],октябрь;октябрьский
passe,[pɑːˈseɪ],устаревший
personality,[ˌpɜːsəˈnæləti],личность
sullen,[ˈsʌl.ən],угрюмый
thirteen,[ˌθɜːˈtiːn],тринадцать;тринадцати
threat,[θret],угроза
writhe,[raɪð],корчиться
